date,trend,remainder,Seasonal12,Seasonal16
2007-07-01,3165.69814233065,-100.289157546447,-488.311307194708,-164.097677589491
2007-08-01,3166.09491981551,-658.430189660849,-168.690192941269,128.025462786612
2007-09-01,3166.49169730037,-201.318106759805,-404.716554827548,-141.457035713014
2007-10-01,3166.88847478523,231.047520082218,171.13151497528,36.9324901572748
2007-11-01,3167.45313682409,-135.837813125272,293.018041126491,-160.633364825304
2007-12-01,3168.01779886294,414.255407785844,654.030130417874,124.696662933337
2008-01-01,3168.5824609018,96.6514937210568,691.445316574205,-31.6792711970658
2008-02-01,3172.46016452642,165.591866340537,19.6048131487169,56.3431559843281
2008-03-01,3176.33786815103,598.51216474244,232.117413880071,305.032553226456
2008-04-01,3180.21557177565,-874.349485570061,-270.328286948371,-28.5377992572157
2008-05-01,3184.57223999875,303.295950241823,-266.015550932767,131.147360692198
2008-06-01,3188.92890822185,520.865015766113,-463.28576832483,-157.508155663133
2008-07-01,3193.28557644495,-159.022628669612,-488.311307194708,124.048359419366
2008-08-01,3184.24296023564,-24.8545305368812,-168.690192941269,-280.69823675749
2008-09-01,3175.20034402633,52.3731401935465,-404.716554827548,100.143070607672
2008-10-01,3166.15772781702,-316.531631325432,171.13151497528,-41.7576114668648
2008-11-01,3164.50659917634,-173.426962713346,293.018041126491,-164.097677589491
2008-12-01,3162.85547053567,113.088936259844,654.030130417874,128.025462786612
2009-01-01,3161.204341895,-226.192622756186,691.445316574205,-141.457035713014
2009-02-01,3165.20881577186,-145.746119077855,19.6048131487169,36.9324901572748
2009-03-01,3169.21328964873,368.302661296504,232.117413880071,-160.633364825304
2009-04-01,3173.2177635256,-215.586139510564,-270.328286948371,124.696662933337
2009-05-01,3188.32567817578,-243.630856045945,-266.015550932767,-31.6792711970658
2009-06-01,3203.43359282596,588.509019514544,-463.28576832483,56.3431559843281
2009-07-01,3218.54150747614,-462.262753507884,-488.311307194708,305.032553226456
2009-08-01,3240.90964599457,410.318346203919,-168.690192941269,-28.5377992572157
2009-09-01,3263.277784513,-102.708590377647,-404.716554827548,131.147360692198
2009-10-01,3285.64592303143,-311.269282343574,171.13151497528,-157.508155663133
2009-11-01,3301.85374524878,322.079854205368,293.018041126491,124.048359419366
2009-12-01,3318.06156746613,-169.393461126511,654.030130417874,-280.69823675749
2010-01-01,3334.26938968347,-449.857776865349,691.445316574205,100.143070607672
2010-02-01,3340.41103068808,57.7417676300729,19.6048131487169,-41.7576114668648
2010-03-01,3346.55267169268,531.42759201674,232.117413880071,-164.097677589491
2010-04-01,3352.69431269728,-132.391488535518,-270.328286948371,128.025462786612
2010-05-01,3348.82234948585,515.650237159934,-266.015550932767,-141.457035713014
2010-06-01,3344.95038627442,-233.597108106861,-463.28576832483,36.9324901572748
2010-07-01,3341.07842306299,254.866248957027,-488.311307194708,-160.633364825304
2010-08-01,3329.1945259639,60.7990040440368,-168.690192941269,124.696662933337
2010-09-01,3317.31062886481,49.0851971598076,-404.716554827548,-31.6792711970658
2010-10-01,3305.42673176572,-365.901402725323,171.13151497528,56.3431559843281
2010-11-01,3291.12760000558,326.821805641471,293.018041126491,305.032553226456
2010-12-01,3276.82846824544,-217.320799406104,654.030130417874,-28.5377992572157
2011-01-01,3262.52933648531,257.877986248288,691.445316574205,131.147360692198
2011-02-01,3252.70445211346,-141.801109599039,19.6048131487169,-157.508155663133
2011-03-01,3242.8795677416,-707.045341041038,232.117413880071,124.048359419366
2011-04-01,3233.05468336975,50.9718403361126,-270.328286948371,-280.69823675749
2011-05-01,3232.77128631353,321.10119401156,-266.015550932767,100.143070607672
2011-06-01,3232.48788925732,-187.444509465627,-463.28576832483,-41.7576114668648
2011-07-01,3232.20449220111,-40.7955074169108,-488.311307194708,-164.097677589491
2011-08-01,3242.14158768252,94.5231424721346,-168.690192941269,128.025462786612
2011-09-01,3252.07868316394,140.094907376625,-404.716554827548,-141.457035713014
2011-10-01,3262.01577864535,305.920216222095,171.13151497528,36.9324901572748
2011-11-01,3279.97277502006,-171.357451321245,293.018041126491,-160.633364825304
2011-12-01,3297.92977139477,-789.65656474598,654.030130417874,124.696662933337
2012-01-01,3315.88676776947,466.347186853386,691.445316574205,-31.6792711970658
2012-02-01,3328.68727869131,171.364752175647,19.6048131487169,56.3431559843281
2012-03-01,3341.48778961314,-497.637756719669,232.117413880071,305.032553226456
2012-04-01,3354.28830053497,645.577785670614,-270.328286948371,-28.5377992572157
2012-05-01,3354.09585804802,-495.227667807447,-266.015550932767,131.147360692198
2012-06-01,3353.90341556106,-105.109491573099,-463.28576832483,-157.508155663133
2012-07-01,3353.71097307411,506.551974701234,-488.311307194708,124.048359419366
2012-08-01,3340.66033395327,106.728095745491,-168.690192941269,-280.69823675749
2012-09-01,3327.60969483243,40.9637893874446,-404.716554827548,100.143070607672
2012-10-01,3314.55905571159,412.067040779992,171.13151497528,-41.7576114668648
2012-11-01,3309.44037755649,-256.360741093487,293.018041126491,-164.097677589491
2012-12-01,3304.32169940138,544.622707394139,654.030130417874,128.025462786612
2013-01-01,3299.20302124627,-266.191302107458,691.445316574205,-141.457035713014
2013-02-01,3296.74653982841,-195.283843134399,19.6048131487169,36.9324901572748
2013-03-01,3294.29005841055,-353.774107465313,232.117413880071,-160.633364825304
2013-04-01,3291.83357699269,491.798047022347,-270.328286948371,124.696662933337
2013-05-01,3289.49385739262,-407.799035262788,-266.015550932767,-31.6792711970658
2013-06-01,3287.15413779256,-600.211525452055,-463.28576832483,56.3431559843281
