date,trend,remainder,seasonal19,seasonal34,is_projected
2007-07-02,3258.25533953583,-206.569634995607,338.257629974116,-976.943334514341,False
2007-08-02,3258.10813232065,45.0469249584853,-1220.54444024366,384.389382964523,False
2007-09-02,3257.96092510546,87.1139160018192,-518.293501300196,-407.781339807083,False
2007-10-02,3257.81371789027,332.045608291301,708.798233968276,-692.657560149852,False
2007-11-02,3257.66651067509,103.90369655087,395.629768422588,-593.199975648544,False
2007-12-02,3257.5193034599,321.118460320485,-633.306203457617,1415.66843967723,False
2008-01-02,3257.37209624471,-254.881145009948,-259.760427976482,1182.26947674172,False
2008-02-02,3257.25586019226,88.7442304872093,304.34853577232,-236.348626451793,False
2008-03-02,3257.13962413982,-34.8230116556419,482.582533986988,607.100853528838,False
2008-04-02,3257.02338808737,-484.259354498017,-580.046709094765,-185.717324494585,False
2008-05-02,3256.90715203492,230.628676485776,-206.842952467519,72.3071239468221,False
2008-06-02,3256.79091598247,-35.598311837678,787.154031044163,-919.346635188962,False
2008-07-02,3256.67467993002,108.976484276249,-395.327519853043,-300.323644353229,False
2008-08-02,3256.4120901167,-35.4381844742907,-278.557092242911,-232.416813399498,False
2008-09-02,3256.14950030338,144.843769573208,-49.3469105198562,-428.646359356728,False
2008-10-02,3255.88691049005,-149.658226405602,833.349342219522,-960.578026303972,False
2008-11-02,3255.62432067673,273.817163199867,-604.387710618549,194.946226741955,False
2008-12-02,3255.3617308634,-20.6842235092754,110.080767681426,713.241724964449,False
2009-01-02,3255.09914105008,-262.797419059994,786.212617777476,-293.514339767558,False
2009-02-02,3254.16757862377,175.681184321994,338.257629974116,-692.106392919884,False
2009-03-02,3253.23601619747,-74.1333238775333,-1220.54444024366,1650.44174792373,False
2009-04-02,3252.30445377116,-32.9506949264578,-518.293501300196,110.939742455489,False
2009-05-02,3251.37289134486,-292.856778239847,708.798233968276,-1020.31434707329,False
2009-06-02,3250.44132891855,-150.676180096448,395.629768422588,-110.394917244695,False
2009-07-02,3249.50976649225,-332.535369992997,-633.306203457617,289.331806958367,False
2009-08-02,3250.22613388195,320.101009627931,-259.760427976482,143.433284466604,False
2009-09-02,3250.94250127165,-66.1238067224713,304.34853577232,-602.167230321497,False
2009-10-02,3251.65886866135,-12.5592277991427,482.582533986988,-733.682174849193,False
2009-11-02,3252.37523605105,497.55321860514,-580.046709094765,871.118254438579,False
2009-12-02,3253.09160344075,-158.009961169344,-206.842952467519,633.761310196114,False
2010-01-02,3253.80797083045,40.8118397477874,787.154031044163,-405.7738416224,False
2010-02-02,3256.75744425868,-154.651019508734,-395.327519853043,669.221095103104,False
2010-03-02,3259.7069176869,63.3285113328607,-278.557092242911,901.521663223148,False
2010-04-02,3262.65639111513,-87.5302364060672,-49.3469105198562,-47.7792441892063,False
2010-05-02,3265.60586454336,334.988127751464,833.349342219522,-976.943334514341,False
2010-06-02,3268.55533797158,-363.557010317558,-604.387710618549,384.389382964523,False
2010-07-02,3271.50481139981,-26.8042392741518,110.080767681426,-407.781339807083,False
2010-08-02,3275.65333182472,-23.2083894523385,786.212617777476,-692.657560149852,False
2010-09-02,3279.80185224962,-94.859506575197,338.257629974116,-593.199975648544,False
2010-10-02,3283.95037267453,-312.074372108106,-1220.54444024366,1415.66843967723,False
2010-11-02,3288.09889309944,263.925131459033,-518.293501300196,1182.26947674172,False
2010-12-02,3292.24741352435,-79.6970210408285,708.798233968276,-236.348626451793,False
2011-01-02,3296.39593394926,43.8734440993207,395.629768422588,607.100853528838,False
2011-02-02,3298.78780640666,493.235721545544,-633.306203457617,-185.717324494585,False
2011-03-02,3301.17967886406,-221.726374834401,-259.760427976482,72.3071239468221,False
2011-04-02,3303.57155132147,44.4265480951753,304.34853577232,-919.346635188962,False
2011-05-02,3305.96342377887,-100.22231341263,482.582533986988,-300.323644353229,False
2011-06-02,3308.35529623627,44.1082262579912,-580.046709094765,-232.416813399498,False
2011-07-02,3310.74716869368,-136.257856869425,-206.842952467519,-428.646359356728,False
2011-08-02,3311.27029306827,158.153702191542,787.154031044163,-960.578026303972,False
2011-09-02,3311.79341744286,-265.41212433177,-395.327519853043,194.946226741955,False
2011-10-02,3312.31654181745,28.9988254610153,-278.557092242911,713.241724964449,False
2011-11-02,3312.83966619204,271.021584095377,-49.3469105198562,-293.514339767558,False
2011-12-02,3313.36279056663,-167.605739866267,833.349342219522,-692.106392919884,False
2012-01-02,3313.88591494122,82.0600477536063,-604.387710618549,1650.44174792373,False
2012-02-02,3314.21604239968,40.7634474634033,110.080767681426,110.939742455489,False
2012-03-02,3314.54616985815,300.555559437666,786.212617777476,-1020.31434707329,False
2012-04-02,3314.87629731661,158.260989953968,338.257629974116,-110.394917244695,False
2012-05-02,3315.20642477507,340.006208510219,-1220.54444024366,289.331806958367,False
2012-06-02,3315.53655223354,-312.676335399946,-518.293501300196,143.433284466604,False
2012-07-02,3315.866679692,73.5023166612168,708.798233968276,-602.167230321497,False
2012-08-02,3316.15289033866,19.8995160879408,395.629768422588,-733.682174849193,False
2012-09-02,3316.43910098533,-490.251151966288,-633.306203457617,871.118254438579,False
2012-10-02,3316.72531163199,165.273806148378,-259.760427976482,633.761310196114,False
2012-11-02,3317.01152227865,-33.5862164285704,304.34853577232,-405.7738416224,False
2012-12-02,3317.29773292531,161.898637984596,482.582533986988,669.221095103104,False
2013-01-02,3317.58394357197,-56.0588977003545,-580.046709094765,901.521663223148,False
2013-02-02,3317.79861384548,94.8235828112433,-206.842952467519,-47.7792441892063,False
2013-03-02,3318.01328411899,-116.223980648813,787.154031044163,-976.943334514341,False
