date,trend,remainder,Seasonal12,Seasonal17,Seasonal24
2007-07-01,3152.04478974799,-179.650164550095,-700.186553527388,60.350219423098,80.4417089063976
2007-08-01,3153.10546584457,-384.81980980128,-368.113129406491,-89.0511227975424,155.878596160745
2007-09-01,3154.16614194115,10.6969235445695,-508.546147136117,-496.725442063886,259.408523714282
2007-10-01,3155.22681803774,-76.9221776569925,247.412730389055,449.647011268048,-169.364382037845
2007-11-01,3156.28749413432,-99.9098678568498,551.566106609624,-161.804872566682,-282.138860320414
2007-12-01,3157.82823062401,660.913490556372,1083.09748404884,-235.361150570272,-305.478054658952
2008-01-01,3159.36896711371,-422.851140504344,1169.68507768077,866.004262881011,-847.207167171145
2008-02-01,3160.9097036034,213.093735739733,296.606117733479,-339.141128824504,82.5315717478896
2008-03-01,3162.4504400931,165.694757514459,333.543571850133,360.420696774108,289.890533768202
2008-04-01,3165.26312042003,-387.414374830369,-448.009350032962,-261.961762909045,-60.8776326476579
2008-05-01,3168.07580074697,212.145573184098,-668.386541883182,-76.2882261669118,717.453394119023
2008-06-01,3170.88848107391,339.044402700852,-988.669690877126,174.697400857929,393.039406244438
2008-07-01,3173.70116140084,-445.556199345411,-700.186553527388,-151.17645200652,793.218043478476
2008-08-01,3178.73240931221,-134.769134348832,-368.113129406491,32.9825524829695,1.16730196014415
2008-09-01,3183.76365722358,24.8930982591487,-508.546147136117,-3.92733679024985,226.816728443639
2008-10-01,3188.79490513495,-355.757544193802,247.412730389055,-96.3498195368059,-5.10027179339615
2008-11-01,3193.82615304632,-4.3950504398249,551.566106609624,-32.314774399237,-588.68243481688
2008-12-01,3198.88269660811,-164.359882701431,1083.09748404884,60.350219423098,-119.970517378612
2009-01-01,3203.9392401699,-117.882331433002,1169.68507768077,-89.0511227975424,-681.69086362012
2009-02-01,3208.99578373169,289.948334293576,296.606117733479,-496.725442063886,-222.824793694855
2009-03-01,3214.05232729347,179.309776109002,333.543571850133,449.647011268048,-567.552686520658
2009-04-01,3222.72933082572,-72.8765068058556,-448.009350032962,-161.804872566682,271.961398579772
2009-05-01,3231.40633435798,-252.037433266549,-668.386541883182,-235.361150570272,571.378791362029
2009-06-01,3240.08333789023,259.880456244892,-988.669690877126,866.004262881011,7.70163386099586
2009-07-01,3248.76034142248,283.125632023017,-700.186553527388,-339.141128824504,80.4417089063976
2009-08-01,3257.51648532554,48.2973511460968,-368.113129406491,360.420696774108,155.878596160745
2009-09-01,3266.27262922861,131.826757102272,-508.546147136117,-261.961762909045,259.408523714282
