date,trend,remainder,seasonal36,seasonal36.1,is_projected,projection,observation
2010-10-04,2.61335953123154,4.13665595603043,1.24998450757076,1.24998450757076,False,5.11332854637306,9.249984502403489
2010-11-04,2.61297695626281,4.14873651849522,2.23828652007469,2.23828652007469,False,7.08954999641219,11.23828651490741
2010-12-04,2.61259438129409,0.494150370084817,1.89325524345383,1.89325524345383,False,6.39910486820175,6.893255238286567
2011-01-04,2.61221180632536,-2.82710231868213,1.2148905071895,1.2148905071895,False,5.04199282070436,2.21489050202223
2011-02-04,2.61182923135663,-3.48168846709254,1.86985923056864,1.86985923056864,False,6.351547692493909,2.8698592254013695
2011-03-04,2.6114466563879,-6.1362745776096,3.52482791605443,3.52482791605443,False,9.66110248849676,3.5248279108871587
2011-04-04,2.61106408141918,-1.12419388251885,-0.486870204067604,-0.486870204067604,False,1.637323673283972,0.513129790765122
2011-05-04,2.61013768876696,1.23123092198726,-1.8413686159215,-1.8413686159215,False,0.0,1.23123092198726
2011-06-04,2.60921129611474,0.919989053511198,-2.52920035479322,-2.52920035479322,False,0.0,0.919989053511198
2011-07-04,2.60828490346252,-0.0579194689915061,-2.5503654396383,-2.5503654396383,False,0.0,-0.0579194689915061
2011-08-04,2.6073585108103,0.630838681487963,-2.23819719746555,-2.23819719746555,False,0.0,0.630838681487963
2011-09-04,2.60643211815808,-0.347069803121701,-0.259362320203664,-0.259362320203664,False,2.087707477750752,1.7406376746290508
2011-10-04,2.60550572550586,-0.658311652642232,1.05280592196909,1.05280592196909,False,4.71111756944404,4.052805916801808
2011-11-04,2.60539349220456,2.67307747864868,1.72152902397948,1.72152902397948,False,6.04845154016352,8.7215290188122
2011-12-04,2.60528125890326,1.33779986117134,1.05691887475813,1.05691887475813,False,4.71911900841952,6.05691886959086
2012-01-04,2.60516902560195,0.669188954569205,-0.274357985338444,-0.274357985338444,False,2.056453054925062,2.7256420094942673
2012-02-04,2.60505679230065,4.66724477778881,1.72769842474326,1.72769842474326,False,6.06045364178717,10.72769841957598
2012-03-04,2.60494455899935,0.665300487383314,1.72975494845006,1.72975494845006,False,6.064454455899471,6.729754943282785
2012-04-04,2.60483232569804,0.330023002585634,-0.934855333450961,-0.934855333450961,False,0.7351216587961182,1.0651446613817521
2012-05-04,2.61042717733926,0.32141962530344,-1.93184680780999,-1.93184680780999,False,0.0,0.32141962530344
2012-06-04,2.61602202898048,-0.353850424960927,-2.26217160918685,-2.26217160918685,False,0.0,-0.353850424960927
2012-07-04,2.6216168806217,-0.029120456304911,-2.59249642948409,-2.59249642948409,False,0.0,-0.029120456304911
2012-08-04,2.62721173226293,-0.0377238336132417,-2.58948790381697,-2.58948790381697,False,0.0,-0.0377238336132417
2012-09-04,2.63280658390415,-1.71299384601071,-0.919812743060725,-0.919812743060725,False,0.7931810977826999,-0.9198127482280101
2012-10-04,2.63840143554537,-3.38826387735469,0.749862436642042,0.749862436642042,False,4.138126308829454,0.7498624314747642
2012-11-04,2.64122394078902,-2.38147581613258,1.74025187017629,1.74025187017629,False,6.1217276811416,3.7402518650090197
2012-12-04,2.64404644603266,-2.70802096824917,3.06397451704923,3.06397451704923,False,8.771995480131121,6.063974511881951
2013-01-04,2.64686895127631,-3.03456613931229,5.38769718286871,5.38769718286871,False,13.42226331701373,10.38769717770144
2013-02-04,2.64969145651996,-2.69444454266063,4.04475308097339,4.04475308097339,False,10.73919761846674,8.04475307580611
2013-03-04,2.65251396176361,0.312343632209301,-0.964857599140198,-0.964857599140198,False,0.722798763483214,1.035142395692515
2013-04-04,2.65533646700726,0.652465134097064,-2.30780160627161,-2.30780160627161,False,0.0,0.652465134097064
2013-05-04,2.64480285262801,2.66595142339827,-1.31075428119357,-1.31075428119357,False,0.02329429024086993,2.68924571363914
